"firm","link","business","companyintroduction","companyname","province","city","registeredcapital","datacertification","securitydeposit","businessmode","businessscope","productssold","productspurchased","mainindustry","companytype","companysize","registrationyear","component","service","endproduct","city_eng","province_eng"
"成都鼎信精控科技有限公司","https://www.81uav.cn/com/violit/","服务范围：无人机光电吊舱、车载船载稳定云台","成都鼎信精控科技为无人机、通用航空、海事监控等领域提供高性能稳定云台（吊舱），能满足电力巡线、森林防火、海事监测、环保监控等多种行业需求。 聚焦于行业用户对远距离光学观察的刚性需求，鼎信精控的系列方案以高性能控制算法和控制体系为核心，结合优良的结构设计和载荷优化，提供精度出众、操控灵活的云台产品。 我们只专注于稳定精度： 1、高精度、低漂移的MEMS传感器，结合优势滤波及姿态算法，获得“实时、入微”的感知能力； 2、高精密无刷力矩电机及FOC算法，获得“静动相宜”的执行能力； 3、高性能处理器和高速总线，获得“唯快不破”的运作能力； 4、高增益的控制算法，数倍于常规的误差预测和干扰观测，获得“知著、先行”的操盘能力。","成都鼎信精控科技有限公司","四川","成都","100万人民币","企业资料通过认证","已缴纳 0.00 元","制造商","无人机光电吊舱、车载船载稳定云台","双光监控吊舱|单光稳定云台|车载船载稳定云台","监控机芯|无刷电机","无人机整机 / 无人机配件 / 吊舱（云台）","企业单位 (制造商)","1-49人",2016,1,0,0,"Chengdu","Sichuan"
"天空租客","https://www.81uav.cn/com/cdhk308/","服务范围：无人机设备租赁，飞手服务，与相关企业合作，无人机教育培训","提供相关无人机，并可提供飞手服务（带证飞手可兼职），可与相关无人机生产商，无人机应用商（例如拍摄，教育，农业等等）合作","天空租客","四川","成都","未填写",NA,"已缴纳 0.00 元","贸易商,服务商,其他机构","无人机设备租赁，飞手服务，与相关企业合作，无人机教育培训","Not available","Not available","无人机整机 / 无人机配件 / 飞行控制","事业单位或社会团体 (贸易商,服务商,其他机构)","1-49人",2024,1,0,0,"Chengdu","Sichuan"
"乐山密米尔复合材料有限公司","https://www.81uav.cn/com/mimir/","服务范围：我们的核心专长在于制造小型化、轻量化、精密化的高强度主副翼一体成型柔性连接碳纤维机翼、高强度空天折展结构。","密米尔复合材料有限公司是一家专注于，创新的一体成型折叠翼巡飞弹零部件的研发与生产的碳纤维制造企业。我们的核心专长在于制造小型化、轻量化、精密化的高强度主副翼一体成型柔性连接碳纤维机翼、高强度空天折展结构，致力于推动航空航天领域的技术进步。","乐山密米尔复合材料有限公司","四川","乐山","50万人民币",NA,"已缴纳 0.00 元","制造商","我们的核心专长在于制造小型化、轻量化、精密化的高强度主副翼一体成型柔性连接碳纤维机翼、高强度空天折展结构。","柔性连接碳纤维机翼|折叠翼|巡飞无人机机翼","Not available","无人机整机 / 无人机配件 / 结构与材料","企业单位 (制造商)","1-49人",2024,1,0,0,"Leshan prefecture level city in Sichuan","Sichuan"
"博乐市昌杰农业科技有限公司","https://www.81uav.cn/com/ma15709091412ma/","服务范围：航空喷洒 驾驶员培训 航空摄影 空中拍照","技术服务技术开发技术咨询 技术交流农业机械销售","博乐市昌杰农业科技有限公司","新疆","博尔塔拉蒙古自治州","20万人民币",NA,"已缴纳 0.00 元","贸易商,服务商","航空喷洒 驾驶员培训 航空摄影 空中拍照","植保无人机 打捆机","植保无人机","无人机整机 / 植保无人机 无人机培训 / 无人机驾驶培训","企业单位 (贸易商,服务商)","1-49人",2021,0,1,0,"Börtala Mongol autonomous prefecture in Xinjiang","Xinjiang"
"湖南优象科技有限公司","https://www.81uav.cn/com/hnyxkj/","服务范围：计算机技术开发、技术服务；网络技术的研发；电子产品研发；通讯产品研发；通信产品研发；智能化技术研发；计算机科学技术研究服务；软件开发；软件技术转让；软件技术服务；通用机械设备销售；集成电路设计；光电惯导系统软件及产品的研发及制造；电子元器件、电子产品的批发。","湖南优象科技有限公司成立于2015年5月22日，坐落于长沙高新开发区管委会旁。是一家专注于数字影像处理技术公司，在三维视频稳像算法、智能跟踪拍摄算法、光流定位技术以及全景立体成像技术等方面，在业内赢得普遍赞誉。公司自成立以来，一直专注于无人机目标跟踪系统、无人机光流模块及其相关应用技术的深度研发。通过对产品进行持续的开发和创新，在技术成果转化方面已达到国内领先水平，以高品质、高信誉受到众多企业的青睐。     公司目前已申请知识产权专利51项，发明专利43项（已获得了23项发明专利证书，6项实用新型证书，1项软件著作权证书，1项集成电路布图设计登记证书。","湖南优象科技有限公司","湖南","长沙","555.56万人民币",NA,"已缴纳 0.00 元","制造商","计算机技术开发、技术服务；网络技术的研发；电子产品研发；通讯产品研发；通信产品研发；智能化技术研发；计算机科学技术研究服务；软件开发；软件技术转让；软件技术服务；通用机械设备销售；集成电路设计；光电惯导系统软件及产品的研发及制造；电子元器件、电子产品的批发。","光流模块|激光测距|光流激光","无","无人机整机 / 工业无人机 无人机整机 / 娱乐无人机 无人机整机 / 植保无人机 无人机整机 / 航拍无人机 无人机整机 / 竞技无人机","企业单位 (制造商)","1-49人",2015,0,0,1,"Changsha prefecture level city and capital of Hunan province in south central China","Hunan"
"四川慧飞通航科技有限公司","https://www.81uav.cn/com/huifeitonghang/","服务范围：无人机操控员执照培训，无人机应用培训，大疆行业无人机销售，考试无人机整机销售，无人机测绘服务等。","四川慧飞通航科技有限公司(简称""慧飞通航”)，是一家专业从事无人机校企合作、行业应用服务、无人机驾驶员培训以及A!人工智能教育为一体的高科技服务公司，是经中国民用航空局(CAAC)许可的无人机通航企业。 业务范围: 行业应用服务:VR数字校园、无人机航拍测绘、气象监测、无人机保险等作业服务; 无人机教育:无人机操控员执照培训、UTC(无人机航拍技术、无人机测绘技术)等; 无人机销售:大疆等全系列无人机; 校企合作:无人机应用技术专业、无人机操控与维护专业、无人机测绘技术专业、无人机考试培训、无人机行业应用课程(航拍、测绘)。","四川慧飞通航科技有限公司","四川","眉山","100万人民币",NA,"已缴纳 0.00 元","服务商","无人机操控员执照培训，无人机应用培训，大疆行业无人机销售，考试无人机整机销售，无人机测绘服务等。","无人机操控员执照培训，无人机应用培训，大疆行业无人机销售，考试无人机整机销售，无人机测绘服务等。","Not available","无人机整机 / 工业无人机 无人机培训 / 无人机驾驶培训 无人机培训 / 无人机应用培训","企业单位 (服务商)","1-49人",2021,0,1,0,"Meishan prefecture level city in Sichuan","Sichuan"
"上海前泓展览服务有限公司","https://www.81uav.cn/com/qhexpo/","服务范围：2024深圳国际无人机技术及设备展览会 130 6188 8078","据《中国低空经济发展（2022-2023）》（国家低空经济融合创新研究中心）统计，2023 年 全国共有 15 个省（自治区）将低空经济有关内容写入政府工作报告。2021 年 2 月“低空经济”概念首次被写入国家规划。中共中央、国务院印发《国家综合立体交通网规划纲要》提出，发展交通运输平台经济、枢纽经济、通道经济、低空经济。 2023 中央经济工作会议提出，要大力推进新型工业化，包括低空经济等若干战略性新兴产业。 作为国内发展低空经济的先行者，多个地区已经出台多项支持低空经济发展的政策措施。        结合当前行业国内外发展趋势，攻克技术难点，扩展服务领域的大背景下“2024深圳国际无人机技术及设备展览会”在各单位大力支持下将于2024年11月15-19日在深圳国际会展中心（福田馆）隆重召开！展会将进一步拓展无人机上下游产业链，集中展示国内外行业领域的新思路、新技术、新设备、新产品，新应用 汇聚全球科技产业巨擘与创新能量，剖析趋势脉动、深入探讨未来技术，创新应用与市场发展契机，促进低空经济产业的健康发展。 联 系 人：陈 伟 先生 手 机 号：130 6188 8078（微信同号） 电    话：021-6015 2468    3786 2351 Q   Q： 460472600 电  邮：qhexpo@tom.com 官  网：www.uatexpo.com","上海前泓展览服务有限公司","上海","上海","未填写",NA,"已缴纳 0.00 元","Not available","2024深圳国际无人机技术及设备展览会 130 6188 8078","无人机，无人机控制设备，无人机飞控，无人机软件，无人机配件","无人机，无人机控制设备，无人机飞控，无人机软件，无人机配件","无人机展会活动 无人机整机 / 工业无人机 无人机整机 / 航拍无人机 无人机整机 / 无人机配件 反无人机系统 无人机通用件 设备工具仪表","企业单位 ()",NA,2024,1,0,0,"Shanghai","Shanghai"
"上海寅创航空技术有限公司","https://www.81uav.cn/com/yingchuanghangkong/","服务范围：航空器、汽车技术领域内的技术开发、技术服务、技术咨询、技术转让；民用航空器零部件、汽车零部件的研发、设计及销售。","上海寅创航空技术有限公司成立于2016年，母公司为上海龙创汽车设计股份有限公司,为国家级高新技术企业，国家级工业设计中心，国家级专精特新小巨人企业 , 2015年在新三板挂牌，成立至今专注于航空领域无人机设计开发和生产，并提供各种类型车辆造型、车身、底盘、性能分析、三电、试制、验证等整车交钥匙研发，提供涵盖各种应用场景下的特种装备设计开发解决方案。","上海寅创航空技术有限公司","上海","上海","3500万人民币",NA,"已缴纳 0.00 元","制造商","航空器、汽车技术领域内的技术开发、技术服务、技术咨询、技术转让；民用航空器零部件、汽车零部件的研发、设计及销售。","无人机、靶机","Not available","无人机整机 / 军警无人机 无人机整机 / 工业无人机","企业单位 (制造商)","50-99人",2016,0,0,1,"Shanghai","Shanghai"
"广东企航科技有限公司","https://www.81uav.cn/com/yudoujj/","服务范围：无人机机架定制 多旋翼机架 固定翼机壳 碳纤维螺旋桨 复合翼","Not available","广东企航科技有限公司","广东","惠州","500万人民币",NA,"已缴纳 0.00 元","制造商","无人机机架定制 多旋翼机架 固定翼机壳 碳纤维螺旋桨 复合翼","定制代加工复合翼 碳纤维无人机机壳机架 垂起无人机","Not available","无人机整机 / 无人机配件 / 结构与材料 无人机整机 / 无人机配件 / 螺旋桨 无人机整机 / 其他无人机","企业单位 (制造商)","50-99人",2021,1,0,0,"Huizhou prefecture level city in Guangdong province","hillsides"
"广州市华科尔科技股份有限公司","https://www.81uav.cn/com/walkera/","服务范围：无人机,无人机机场,车载移动无人机机场,无人机消防车,无人机飞行控制系统","广州市华科尔科技股份有限公司是一家专业从事无人机研发、生产、销售和技术服务于一体的高新技术企业。产品广泛应用于警用安防、消防救援、农业植保、巡检侦察、遥感测绘、电力巡检、海事救援、智能伴飞、无人值守等多个领域。     公司成立于2001年，座落于粤港澳大湾区—广州市南沙经济开发区，占地面积3万平方米，在职科研/工程/生产人员300余人。华科尔无人机完全自主研发，先后通过了ISO9001、ISO14001、ISO45001等国际质量、环境、职业安全等体系认证；经过二十多年的技术积累和沉淀，华科尔已成为全球领先的智能无人机系统解决方案提供商，奠定了全球智能飞行器行业领导地位。公司已获得海内外发明专利、实用新型专利和软件著作权等300余项。     近年来连续被行业组织评选为“中国无人机十大品牌”、“中国无人机十大创新品牌”、“全球无人机五十强”；先后获得“广东省智能化航拍无人机工程技术研究中心”、“广东省机器人骨干企业”、“广东省自主创新示范企业”、“市级企业技术中心”、“市级研发机构”等荣誉称号，并连续通过了十多项省、市、区三级政府的科研项目立项和研究成果验收。     华科尔无人机畅销全国，并在北美、欧洲及中东等30多个国家政企单位得到了广泛应用。华科尔人将继续秉承“专业、专注”的工匠精神，不断创新超越，服务全球，智造无限可能！","广州市华科尔科技股份有限公司","广东","广州","2万人民币",NA,"已缴纳 0.00 元","制造商,贸易商,服务商","无人机,无人机机场,车载移动无人机机场,无人机消防车,无人机飞行控制系统","消防无人机,植保无人机,航拍无人机,工业无人机,警用无人机,竞技无人机,无人机消防车,无人机飞控系统,农业无人机,全自动无人机机场,车载移动无人机机场,消防灭火无人机","Not available","无人机整机 / 植保无人机 无人机整机 / 航拍无人机 无人机整机 / 工业无人机 无人机整机 / 军警无人机 无人机整机 / 竞技无人机 无人机整机 / 其他无人机 无人机整机 / 无人机配件 / 飞行控制 无人机整机 / 无人机配件 / 遥控器及地面站 无人机整机 / 无人机配件 / 软件","企业单位 (制造商,贸易商,服务商)","100-499人",2001,1,0,0,"Guangzhou subprovincial city and capital of Guangdong","hillsides"
